land,tool,charge_time_land,price,price_USDT,charge_time,cpu,wax_stake_peracc,wax_total_cost_peracc,tlm_peracc_daily,accounts,wax_net_monthly,USD_net_monthly,ROI_tool_each_acc,percent_interest_monthly,interval_new_acc,score
Plains,Basic Trilium Detector,0.7,149.9,18.0,237.99999999999997,117.0,1404.0,1853.7,10.7,1.9,132.0,16.0,157.0,3.8,421.0,0.7287846910843725
Grassland,Standard Drill,1.0,50.9,6.1,240.0,116.0,1392.0,1544.7,7.9,2.2,110.0,13.0,72.0,3.2,421.0,0.7284941341836462
Rocky Desert,ExoGloves,2.0,18.0,2.2,160.0,173.0,2076.0,2130.0,10.6,1.6,110.0,13.0,19.0,3.2,581.0,0.7284420042910179
Methane Swampland,Gasrigged Extractor,3.5,210.0,25.2,3780.0,7.0,84.0,714.0,5.7,4.8,166.0,20.0,414.0,4.8,129.0,0.7237982870474065
Geothermal Springs,Large Capacitor,1.5,310.0,37.2,4320.0,7.0,84.0,1014.0,8.1,3.4,174.0,21.0,430.0,5.0,175.0,0.7230115079357214
Plains,Power Extractor,0.7,172.0,20.7,378.0,73.0,876.0,1392.0,8.4,2.5,133.0,16.0,230.0,3.9,314.0,0.7218720917622028
Rocky Coastline,Basic Explosive,2.0,265.0,31.8,4800.0,6.0,72.0,867.0,6.8,4.0,169.0,20.0,438.0,4.9,154.0,0.7184204472637187
Grassland,Basic Explosive,1.0,265.0,31.8,2400.0,12.0,144.0,939.0,7.1,3.7,164.0,20.0,419.0,4.8,172.0,0.7180284197110457
Small Island,ExoGloves,2.1,18.0,2.2,168.0,165.0,1980.0,2034.0,9.4,1.7,102.0,12.0,22.0,3.0,598.0,0.7172834068088265
Dunes,Basic Explosive,1.5,265.0,31.8,3600.0,8.0,96.0,891.0,6.9,3.9,167.0,20.0,431.0,4.8,160.0,0.715632030350301
Sandy Coastline,Basic Explosive,1.5,265.0,31.8,3600.0,8.0,96.0,891.0,6.9,3.9,167.0,20.0,431.0,4.8,160.0,0.715632030350301
Geothermal Springs,ExoGloves,1.5,18.0,2.2,120.0,231.0,2772.0,2826.0,14.1,1.2,112.0,13.0,14.0,3.2,757.0,0.7124424879295654
Small Island,Power Saw,2.1,215.0,25.8,1512.0,18.0,216.0,861.0,6.2,4.0,152.0,18.0,389.0,4.4,170.0,0.7100574504829731
Mushroom Forest,Power Saw,2.0,215.0,25.8,1440.0,19.0,228.0,873.0,6.2,4.0,152.0,18.0,389.0,4.4,172.0,0.7098586433259155
Methane Swampland,Power Saw,3.5,215.0,25.8,2520.0,11.0,132.0,777.0,5.8,4.4,155.0,19.0,416.0,4.5,150.0,0.7082554636573098
Mountains,Advanced TD,3.0,360.0,43.2,480.0,58.0,696.0,1776.0,12.1,1.9,150.0,18.0,334.0,4.3,355.0,0.7038327222252583
Sandy Desert,Basic Explosive,1.2,265.0,31.8,2880.0,10.0,120.0,915.0,6.8,3.8,160.0,19.0,438.0,4.6,172.0,0.7037740399930569
Dormant Volcano,Basic Explosive,2.5,265.0,31.8,6000.0,4.0,48.0,843.0,6.4,4.1,162.0,19.0,465.0,4.7,156.0,0.7015744388532783
Mushroom Forest,ExoGloves,2.0,18.0,2.2,160.0,173.0,2076.0,2130.0,9.3,1.6,95.0,11.0,22.0,2.8,673.0,0.701256709847736
Inland River,Advanced TD,1.5,360.0,43.2,240.0,116.0,1392.0,2472.0,15.4,1.4,143.0,17.0,263.0,4.1,519.0,0.7001953979017222
Rocky Desert,Advanced TD,2.0,360.0,43.2,320.0,87.0,1044.0,2124.0,13.3,1.6,140.0,17.0,304.0,4.1,455.0,0.6942940165586738
Methane Swampland,Advanced TD,3.5,360.0,43.2,560.0,50.0,600.0,1680.0,10.9,2.1,148.0,18.0,371.0,4.3,341.0,0.6941575727234655
Icy Mountains,Large Capacitor,2.0,310.0,37.2,5760.0,5.0,60.0,990.0,7.2,3.5,158.0,19.0,483.0,4.6,188.0,0.6887239616000054
Plains,Basic Explosive,0.7,265.0,31.8,1680.0,16.0,192.0,987.0,6.8,3.5,148.0,18.0,438.0,4.3,200.0,0.6881335969371069
Inland River,ExoGloves,1.5,18.0,2.2,120.0,231.0,2772.0,2826.0,12.3,1.2,97.0,12.0,16.0,2.8,874.0,0.6830712067149871
Plains,Power Saw,0.7,215.0,25.8,503.99999999999994,55.0,660.0,1305.0,7.6,2.6,124.0,15.0,318.0,3.6,316.0,0.6824951048586703
Tree Forest,Advanced TD,1.3,360.0,43.2,208.0,133.0,1596.0,2676.0,15.2,1.3,131.0,16.0,266.0,3.8,613.0,0.677097010587097
Sandy Coastline,Advanced TD,1.5,360.0,43.2,240.0,116.0,1392.0,2472.0,14.3,1.4,132.0,16.0,283.0,3.8,562.0,0.6770818473293553
Dunes,Advanced TD,1.5,360.0,43.2,240.0,116.0,1392.0,2472.0,14.3,1.4,132.0,16.0,283.0,3.8,562.0,0.6770818473293553
Icy Desert,Large Capacitor,1.7,310.0,37.2,4896.0,6.0,72.0,1002.0,7.1,3.4,151.0,18.0,490.0,4.4,199.0,0.6769653748212903
Inland River,Large Capacitor,1.5,310.0,37.2,4320.0,7.0,84.0,1014.0,7.1,3.4,151.0,18.0,490.0,4.4,201.0,0.6767665676642325
Rocky Desert,Basic Explosive,2.0,265.0,31.8,4800.0,6.0,72.0,867.0,6.0,4.0,147.0,18.0,496.0,4.3,177.0,0.6730719231116646
Active Volcano,Infused Extractor,5.0,257.0,30.9,3600.0,8.0,96.0,867.0,5.9,4.0,144.0,17.0,489.0,4.2,181.0,0.6704823133553048
Small Island,Advanced TD,2.1,360.0,43.2,336.0,82.0,984.0,2064.0,11.8,1.7,131.0,16.0,343.0,3.8,473.0,0.6679826043029673
Dunes,ExoGloves,1.5,18.0,2.2,120.0,231.0,2772.0,2826.0,11.5,1.2,90.0,11.0,18.0,2.6,942.0,0.6671421294197499
Sandy Coastline,ExoGloves,1.5,18.0,2.2,120.0,231.0,2772.0,2826.0,11.5,1.2,90.0,11.0,18.0,2.6,942.0,0.6671421294197499
Rocky Coastline,Large Capacitor,2.0,310.0,37.2,5760.0,5.0,60.0,990.0,6.8,3.5,148.0,18.0,512.0,4.3,201.0,0.6659005941561853
Mountains,Basic Explosive,3.0,265.0,31.8,7200.0,4.0,48.0,843.0,5.8,4.1,145.0,17.0,513.0,4.2,174.0,0.6639996737988252
Small Island,Basic Explosive,2.1,265.0,31.8,5040.0,6.0,72.0,867.0,5.7,4.0,138.0,17.0,522.0,4.0,188.0,0.6513446709006748
Tree Forest,ExoGloves,1.3,18.0,2.2,104.0,267.0,3204.0,3258.0,12.2,1.1,88.0,11.0,17.0,2.6,1111.0,0.6506420273403024
Grassland,Large Capacitor,1.0,310.0,37.2,2880.0,10.0,120.0,1050.0,6.8,3.3,139.0,17.0,512.0,4.0,227.0,0.6504589582572928
Geothermal Springs,Artunian Shovel,1.5,335.0,40.2,2250.0,12.0,144.0,1149.0,7.4,3.0,139.0,17.0,508.0,4.0,248.0,0.6495678938758844
Grass Coastline,Large Capacitor,1.1,310.0,37.2,3168.0000000000005,9.0,108.0,1038.0,6.7,3.3,137.0,16.0,520.0,4.0,227.0,0.648066136721899
Mushroom Forest,Advanced TD,2.0,360.0,43.2,320.0,87.0,1044.0,2124.0,11.6,1.6,121.0,15.0,349.0,3.5,527.0,0.6479630520537224
Sandy Coastline,Large Capacitor,1.5,310.0,37.2,4320.0,7.0,84.0,1014.0,6.6,3.4,139.0,17.0,527.0,4.0,219.0,0.6467676465066601
Dunes,Large Capacitor,1.5,310.0,37.2,4320.0,7.0,84.0,1014.0,6.6,3.4,139.0,17.0,527.0,4.0,219.0,0.6467676465066601
Tree Forest,Large Capacitor,1.3,310.0,37.2,3744.0,7.0,84.0,1014.0,6.6,3.4,139.0,17.0,527.0,4.0,219.0,0.6467676465066601
Geothermal Springs,Nanominer,1.5,197.5,23.7,360.0,77.0,924.0,1516.5,7.1,2.3,102.0,12.0,312.0,3.0,446.0,0.6456529700871824
Geothermal Springs,Bananominer,1.5,197.5,23.7,360.0,77.0,924.0,1516.5,7.1,2.3,102.0,12.0,312.0,3.0,446.0,0.6456529700871824
Grass Coastline,Advanced TD,1.1,360.0,43.2,176.0,157.0,1884.0,2964.0,15.0,1.2,119.0,14.0,270.0,3.4,747.0,0.6454376631536801
Plains,Standard Drill,0.7,50.9,6.1,168.0,165.0,1980.0,2132.7,7.6,1.6,76.0,9.0,75.0,2.2,842.0,0.6428907766900944
Icy Mountains,Nanominer,2.0,197.5,23.7,480.0,58.0,696.0,1288.5,6.3,2.7,105.0,13.0,352.0,3.0,368.0,0.6414423415354618
Icy Mountains,Bananominer,2.0,197.5,23.7,480.0,58.0,696.0,1288.5,6.3,2.7,105.0,13.0,352.0,3.0,368.0,0.6414423415354618
Icy Desert,Artunian Shovel,1.7,335.0,40.2,2550.0,11.0,132.0,1137.0,7.1,3.0,133.0,16.0,530.0,3.9,256.0,0.6379066917396066
Dormant Volcano,Large Capacitor,2.5,310.0,37.2,7200.0,4.0,48.0,978.0,6.2,3.5,133.0,16.0,561.0,3.9,221.0,0.6321136335384644
Icy Desert,Bananominer,1.7,197.5,23.7,408.0,68.0,816.0,1408.5,6.6,2.4,98.0,12.0,336.0,2.8,431.0,0.6313941305875048
Icy Desert,Nanominer,1.7,197.5,23.7,408.0,68.0,816.0,1408.5,6.6,2.4,98.0,12.0,336.0,2.8,431.0,0.6313941305875048
Dormant Volcano,Bananominer,2.5,197.5,23.7,600.0,46.0,552.0,1144.5,5.6,3.0,102.0,12.0,396.0,3.0,337.0,0.6313633340251894
Dormant Volcano,Nanominer,2.5,197.5,23.7,600.0,46.0,552.0,1144.5,5.6,3.0,102.0,12.0,396.0,3.0,337.0,0.6313633340251894
Rocky Coastline,Bananominer,2.0,197.5,23.7,480.0,58.0,696.0,1288.5,6.0,2.7,99.0,12.0,370.0,2.9,390.0,0.6295859000674773
Rocky Coastline,Nanominer,2.0,197.5,23.7,480.0,58.0,696.0,1288.5,6.0,2.7,99.0,12.0,370.0,2.9,390.0,0.6295859000674773
Sandy Desert,Large Capacitor,1.2,310.0,37.2,3456.0,8.0,96.0,1026.0,6.3,3.4,132.0,16.0,553.0,3.8,233.0,0.629027897845798
Active Volcano,Gasrigged Extractor,5.0,210.0,25.2,5400.0,5.0,60.0,690.0,4.3,5.0,124.0,15.0,548.0,3.6,167.0,0.6285126189168933
Methane Swampland,Basic Explosive,3.5,265.0,31.8,8400.0,3.0,36.0,831.0,5.2,4.2,131.0,16.0,572.0,3.8,190.0,0.6276193005759773
Sandy Desert,Advanced TD,1.2,360.0,43.2,192.0,144.0,1728.0,2808.0,13.8,1.2,109.0,13.0,293.0,3.2,773.0,0.6274023796262449
Icy Mountains,Artunian Shovel,2.0,335.0,40.2,3000.0,9.0,108.0,1113.0,6.8,3.1,131.0,16.0,553.0,3.8,255.0,0.6268410191181638
Mushroom Forest,Basic Explosive,2.0,265.0,31.8,4800.0,6.0,72.0,867.0,5.3,4.0,127.0,15.0,561.0,3.7,205.0,0.6251326622234971
Active Volcano,Power Saw,5.0,215.0,25.8,3600.0,8.0,96.0,741.0,4.4,4.7,120.0,14.0,549.0,3.5,185.0,0.6221385375257358
Active Volcano,Advanced TD,5.0,360.0,43.2,800.0,35.0,420.0,1500.0,8.3,2.3,121.0,15.0,487.0,3.5,372.0,0.6220944352401472
Grassland,Advanced TD,1.0,360.0,43.2,160.0,173.0,2076.0,3156.0,14.9,1.1,108.0,13.0,271.0,3.1,877.0,0.6193589523958656
Rocky Desert,Large Capacitor,2.0,310.0,37.2,5760.0,5.0,60.0,990.0,6.0,3.5,128.0,15.0,580.0,3.7,232.0,0.6167658144566585
Plains,Large Capacitor,0.7,310.0,37.2,2015.9999999999998,14.0,168.0,1098.0,6.3,3.1,120.0,14.0,553.0,3.5,274.0,0.6120952082689732
Inland River,Nanominer,1.5,197.5,23.7,360.0,77.0,924.0,1516.5,6.2,2.3,88.0,11.0,358.0,2.6,517.0,0.607693735040264
Inland River,Bananominer,1.5,197.5,23.7,360.0,77.0,924.0,1516.5,6.2,2.3,88.0,11.0,358.0,2.6,517.0,0.607693735040264
Mountains,Bananominer,3.0,197.5,23.7,720.0,38.0,456.0,1048.5,4.9,3.3,96.0,12.0,453.0,2.8,328.0,0.6066376842208394
Mountains,Nanominer,3.0,197.5,23.7,720.0,38.0,456.0,1048.5,4.9,3.3,96.0,12.0,453.0,2.8,328.0,0.6066376842208394
Inland River,Artunian Shovel,1.5,335.0,40.2,2250.0,12.0,144.0,1149.0,6.5,3.0,120.0,14.0,579.0,3.5,287.0,0.6030262917580685
Rocky Coastline,Artunian Shovel,2.0,335.0,40.2,3000.0,9.0,108.0,1113.0,6.4,3.1,122.0,15.0,588.0,3.5,274.0,0.6016266140516253
Tree Forest,Artunian Shovel,1.3,335.0,40.2,1950.0,14.0,168.0,1173.0,6.6,2.9,118.0,14.0,570.0,3.4,298.0,0.6003390623358553
Grass Coastline,Artunian Shovel,1.1,335.0,40.2,1650.0000000000002,17.0,204.0,1209.0,6.5,2.9,116.0,14.0,579.0,3.4,313.0,0.5961560844306049
Rocky Desert,Nanominer,2.0,197.5,23.7,480.0,58.0,696.0,1288.5,5.3,2.7,86.0,10.0,418.0,2.5,449.0,0.5922213025790564
Rocky Desert,Bananominer,2.0,197.5,23.7,480.0,58.0,696.0,1288.5,5.3,2.7,86.0,10.0,418.0,2.5,449.0,0.5922213025790564
Sandy Desert,ExoGloves,1.2,18.0,2.2,96.0,289.0,3468.0,3522.0,11.0,1.0,71.0,9.0,18.0,2.1,1488.0,0.5914392041144388
Mountains,Large Capacitor,3.0,310.0,37.2,8640.0,3.0,36.0,966.0,5.5,3.6,120.0,14.0,633.0,3.5,242.0,0.5913479074279575
Grassland,Artunian Shovel,1.0,335.0,40.2,1500.0,19.0,228.0,1233.0,6.4,2.8,110.0,13.0,588.0,3.2,336.0,0.5826064493256952
Tree Forest,Nanominer,1.3,197.5,23.7,312.0,89.0,1068.0,1660.5,6.1,2.1,78.0,9.0,364.0,2.3,639.0,0.5809147394510589
Tree Forest,Bananominer,1.3,197.5,23.7,312.0,89.0,1068.0,1660.5,6.1,2.1,78.0,9.0,364.0,2.3,639.0,0.5809147394510589
Dunes,Bananominer,1.5,197.5,23.7,360.0,77.0,924.0,1516.5,5.7,2.3,80.0,10.0,389.0,2.3,569.0,0.5803954226499711
Sandy Coastline,Bananominer,1.5,197.5,23.7,360.0,77.0,924.0,1516.5,5.7,2.3,80.0,10.0,389.0,2.3,569.0,0.5803954226499711
Sandy Coastline,Nanominer,1.5,197.5,23.7,360.0,77.0,924.0,1516.5,5.7,2.3,80.0,10.0,389.0,2.3,569.0,0.5803954226499711
Dunes,Nanominer,1.5,197.5,23.7,360.0,77.0,924.0,1516.5,5.7,2.3,80.0,10.0,389.0,2.3,569.0,0.5803954226499711
Grass Coastline,ExoGloves,1.1,18.0,2.2,88.0,315.0,3780.0,3834.0,12.0,0.9,71.0,9.0,17.0,2.1,1620.0,0.5786170344405579
Methane Swampland,Bananominer,3.5,197.5,23.7,840.0,33.0,396.0,988.5,4.3,3.5,87.0,10.0,516.0,2.5,341.0,0.5736448252515953
Methane Swampland,Nanominer,3.5,197.5,23.7,840.0,33.0,396.0,988.5,4.3,3.5,87.0,10.0,516.0,2.5,341.0,0.5736448252515953
Sandy Coastline,Artunian Shovel,1.5,335.0,40.2,2250.0,12.0,144.0,1149.0,6.0,3.0,110.0,13.0,627.0,3.2,313.0,0.5732277266468133
Dunes,Artunian Shovel,1.5,335.0,40.2,2250.0,12.0,144.0,1149.0,6.0,3.0,110.0,13.0,627.0,3.2,313.0,0.5732277266468133
Mushroom Forest,Large Capacitor,2.0,310.0,37.2,5760.0,5.0,60.0,990.0,5.3,3.5,111.0,13.0,657.0,3.2,268.0,0.5687278069228837
Dormant Volcano,Artunian Shovel,2.5,335.0,40.2,3750.0,7.0,84.0,1089.0,5.7,3.2,111.0,13.0,660.0,3.2,294.0,0.5652460058053616
Small Island,Bananominer,2.1,197.5,23.7,504.0,55.0,660.0,1252.5,4.7,2.8,77.0,9.0,472.0,2.2,488.0,0.559335874795381
Small Island,Nanominer,2.1,197.5,23.7,504.0,55.0,660.0,1252.5,4.7,2.8,77.0,9.0,472.0,2.2,488.0,0.559335874795381
Rocky Desert,Artunian Shovel,2.0,335.0,40.2,3000.0,9.0,108.0,1113.0,5.7,3.1,107.0,13.0,660.0,3.1,312.0,0.5591710271061283
Sandy Desert,Artunian Shovel,1.2,335.0,40.2,1800.0,15.0,180.0,1185.0,5.9,2.9,104.0,12.0,638.0,3.0,342.0,0.5584834646868824
Grass Coastline,Nanominer,1.1,197.5,23.7,264.0,105.0,1260.0,1852.5,6.0,1.9,70.0,8.0,370.0,2.0,794.0,0.5508554257704026
Grass Coastline,Bananominer,1.1,197.5,23.7,264.0,105.0,1260.0,1852.5,6.0,1.9,70.0,8.0,370.0,2.0,794.0,0.5508554257704026
Mushroom Forest,Nanominer,2.0,197.5,23.7,480.0,58.0,696.0,1288.5,4.6,2.7,73.0,9.0,482.0,2.1,530.0,0.5478841832922137
Mushroom Forest,Bananominer,2.0,197.5,23.7,480.0,58.0,696.0,1288.5,4.6,2.7,73.0,9.0,482.0,2.1,530.0,0.5478841832922137
Small Island,Large Capacitor,2.1,310.0,37.2,6048.0,4.0,48.0,978.0,5.0,3.5,104.0,12.0,696.0,3.0,282.0,0.5470997232670067
Plains,Artunian Shovel,0.7,335.0,40.2,1050.0,26.0,312.0,1317.0,6.0,2.6,95.0,11.0,627.0,2.8,416.0,0.545846300915487
Methane Swampland,Large Capacitor,3.5,310.0,37.2,10080.0,3.0,36.0,966.0,4.8,3.6,102.0,12.0,725.0,3.0,284.0,0.5382269380441465
Sandy Desert,Nanominer,1.2,197.5,23.7,288.0,96.0,1152.0,1744.5,5.5,2.0,66.0,8.0,403.0,1.9,793.0,0.5367987262297176
Sandy Desert,Bananominer,1.2,197.5,23.7,288.0,96.0,1152.0,1744.5,5.5,2.0,66.0,8.0,403.0,1.9,793.0,0.5367987262297176
Plains,Advanced TD,0.7,360.0,43.2,112.0,248.0,2976.0,4056.0,14.2,0.9,84.0,10.0,285.0,2.4,1449.0,0.5283126677904373
Grassland,Bananominer,1.0,197.5,23.7,240.0,116.0,1392.0,1984.5,6.0,1.7,62.0,7.0,370.0,1.8,960.0,0.5257830031631887
Grassland,Nanominer,1.0,197.5,23.7,240.0,116.0,1392.0,1984.5,6.0,1.7,62.0,7.0,370.0,1.8,960.0,0.5257830031631887
Grassland,ExoGloves,1.0,18.0,2.2,80.0,346.0,4152.0,4206.0,11.9,0.8,62.0,7.0,17.0,1.8,2035.0,0.5245074064939519
Mountains,Artunian Shovel,3.0,335.0,40.2,4500.0,6.0,72.0,1077.0,5.1,3.2,97.0,12.0,738.0,2.8,333.0,0.5208963991297904
Mushroom Forest,Artunian Shovel,2.0,335.0,40.2,3000.0,9.0,108.0,1113.0,5.0,3.1,92.0,11.0,752.0,2.7,363.0,0.5094411398012721
Small Island,Artunian Shovel,2.1,335.0,40.2,3150.0,9.0,108.0,1113.0,5.0,3.1,92.0,11.0,752.0,2.7,363.0,0.5094411398012721
Active Volcano,Bananominer,5.0,197.5,23.7,1200.0,23.0,276.0,868.5,3.3,4.0,72.0,9.0,672.0,2.1,362.0,0.5077544730194534
Active Volcano,Nanominer,5.0,197.5,23.7,1200.0,23.0,276.0,868.5,3.3,4.0,72.0,9.0,672.0,2.1,362.0,0.5077544730194534
Active Volcano,Basic Explosive,5.0,265.0,31.8,12000.0,2.0,24.0,819.0,3.8,4.2,90.0,11.0,783.0,2.6,273.0,0.5048295641335012
Methane Swampland,Artunian Shovel,3.5,335.0,40.2,5250.0,6.0,72.0,1077.0,4.8,3.2,91.0,11.0,784.0,2.6,355.0,0.4963793680022132
Active Volcano,Large Capacitor,5.0,310.0,37.2,14400.0,2.0,24.0,954.0,4.2,3.6,87.0,10.0,829.0,2.5,329.0,0.4812185256216581
Plains,Nanominer,0.7,197.5,23.7,168.0,165.0,1980.0,2572.5,5.7,1.3,45.0,5.0,389.0,1.3,1715.0,0.4236217787987925
Plains,Bananominer,0.7,197.5,23.7,168.0,165.0,1980.0,2572.5,5.7,1.3,45.0,5.0,389.0,1.3,1715.0,0.4236217787987925
Active Volcano,Artunian Shovel,5.0,335.0,40.2,7500.0,4.0,48.0,1053.0,3.7,3.3,68.0,8.0,1017.0,2.0,465.0,0.3900397614314115
Plains,ExoGloves,0.7,18.0,2.2,56.0,495.0,5940.0,5994.0,11.3,0.6,44.0,5.0,18.0,1.3,4087.0,0.2988035892323031
